time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-12 09:30:00-05:00,iTrader,5844800edf10438d9403c577a3bb0c6f,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-12 09:30:00-05:00,iTrader,5844800edf10438d9403c577a3bb0c6f,GOOG,sell,market,fill,1,gtc,0.0,1,stock,92.4000015258789,216.0,0.0
2023-01-13 09:30:00-05:00,iTrader,fb37ad8f01894b0b9e0674821beb285d,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-13 09:30:00-05:00,iTrader,fb37ad8f01894b0b9e0674821beb285d,GOOG,sell,market,fill,1,gtc,0.0,1,stock,91.52799987792969,262.0,0.0
2023-01-20 09:30:00-05:00,iTrader,d1a51a2a55414bb88b795a4c3284d151,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-20 09:30:00-05:00,iTrader,20c87e4e30514ad6b581bb4120a1b442,GOOG,buy,stop,fill,1,day,0.0,1,stock,97.02000160217285,216.0,0.0
2023-01-20 09:30:00-05:00,iTrader,7e9fbd7d70d14ab88be895c072268e96,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-20 09:30:00-05:00,iTrader,0fe536b856c14f878afe3cee5e0cb713,GOOG,buy,stop,fill,1,day,0.0,1,stock,96.10439987182617,262.0,0.0
2023-01-25 09:30:00-05:00,iTrader,1626ac655d164a1c8d22b0635e319ac2,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-25 09:30:00-05:00,iTrader,1626ac655d164a1c8d22b0635e319ac2,GOOG,sell,market,fill,1,gtc,0.0,1,stock,97.19999694824219,201.0,0.0
2023-02-01 09:30:00-05:00,iTrader,f0f29bc4bb2f4f26ac9e0d516b043751,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,iTrader,38e4556c34064d028ad0f4f0c0163047,GOOG,buy,stop,fill,1,day,0.0,1,stock,102.0599967956543,201.0,0.0
2023-02-03 09:30:00-05:00,iTrader,78294665979642bdbd0a89035080d8b6,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
