Metric,SPY,Strategy
Risk-Free Rate,4.5%,4.5%
Time in Market,69.0%,46.0%
,,
Total Return,19%,4%
CAGR% (Annual Return),28.9%,5.88%
,,
Sharpe,1.72,0.21
RoMaD,3.44,0.96
Corr to Benchmark,1.0,0.32
Prob. Sharpe Ratio,83.73%,47.5%
Smart Sharpe,1.37,0.16
Sortino,2.51,0.34
Smart Sortino,1.99,0.27
Sortino/√2,1.78,0.24
Smart Sortino/√2,1.41,0.19
Omega,1.06,1.06
,,
Max Drawdown,-8.41%,-6.11%
Longest DD Days,64,92
Volatility (ann.),12.6%,7.58%
R^2,0.1,0.1
Information Ratio,-0.08,-0.08
Calmar,3.44,0.96
Skew,-0.44,1.87
Kurtosis,3.13,38.89
,,
Expected Daily%,0.07%,0.02%
Expected Monthly%,1.98%,0.44%
Expected Yearly%,19.33%,4.05%
Daily Value-at-Risk,-1.01%,-0.64%
Expected Shortfall (cVaR),-1.01%,-0.64%
,,
MTD,1.84%,0.18%
3M,4.38%,-5.51%
6M,16.57%,3.44%
YTD,19.33%,4.05%
1Y,19.33%,4.05%
3Y (ann.),28.9%,5.88%
5Y (ann.),28.9%,5.88%
10Y (ann.),28.9%,5.88%
All-time (ann.),28.9%,5.88%
,,
Best Day,2.31%,3.52%
Worst Day,-2.91%,-2.93%
Best Month,5.06%,6.87%
Worst Month,-3.86%,-4.2%
Best Year,19.33%,4.05%
Worst Year,19.33%,4.05%
,,
Avg. Drawdown,-1.34%,-1.47%
Avg. Drawdown Days,10,26
Recovery Factor,2.17,0.68
Ulcer Index,0.02,0.03
Serenity Index,1.03,-0.01
,,
Avg. Up Month,2.92%,1.81%
Avg. Down Month,-3.86%,-1.38%
Win Days,151.54,128.59
Loss Days,103.46,126.41
Win Days%,59.43%,50.43%
Win Month%,88.89%,66.67%
Win Quarter%,100.0%,75.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.19
Alpha,-,0.01
Correlation,-,32.09%
Treynor Ratio,-,-2.33%
