time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-02-02 09:30:00-05:00,iTrader,68d634ae472341c8a16e05acdade2530,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-02-02 09:30:00-05:00,iTrader,68d634ae472341c8a16e05acdade2530,AAPL,buy,market,fill,1,gtc,0.0,1,stock,179.86000061035156,111.0,0.0
2024-02-20 09:30:00-05:00,iTrader,c82edbdcc1c84f35b5b3bb2cdf711692,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-02-20 09:30:00-05:00,iTrader,e6c4363baf3142da98e671097349a388,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-02-20 09:30:00-05:00,iTrader,8b9b76fa58a84d8d8a90c95c7e6bc09b,AAPL,sell,market,new,1,day,0.0,1,stock,,,
2024-02-20 09:30:00-05:00,iTrader,b182596d670b43c0936f8baeb5edafc8,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2024-02-20 09:30:00-05:00,iTrader,8b9b76fa58a84d8d8a90c95c7e6bc09b,AAPL,sell,market,fill,1,day,0.0,1,stock,181.7899932861328,111.0,0.0
2024-02-20 09:30:00-05:00,iTrader,b182596d670b43c0936f8baeb5edafc8,AAPL,sell,market,fill,1,gtc,0.0,1,stock,181.7899932861328,88.0,0.0
2024-03-11 09:30:00-04:00,iTrader,1ff4823fbeab4c3f91b6c422a49f84fb,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2024-03-11 09:30:00-04:00,iTrader,9e5d5928795445e6ba93ac372e1aedd7,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-03-11 09:30:00-04:00,iTrader,bd47ac9905d54b07a252791442d84df8,AAPL,buy,market,new,1,day,0.0,1,stock,,,
2024-03-11 09:30:00-04:00,iTrader,abd2c55bed264a92b4940428c4454214,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-11 09:30:00-04:00,iTrader,bd47ac9905d54b07a252791442d84df8,AAPL,buy,market,fill,1,day,0.0,1,stock,173.14999389648438,88.0,0.0
2024-03-11 09:30:00-04:00,iTrader,abd2c55bed264a92b4940428c4454214,AAPL,buy,market,fill,1,gtc,0.0,1,stock,173.14999389648438,134.0,0.0
2024-04-11 09:30:00-04:00,iTrader,8a2e4e726d4c46caa91931f83e29fecd,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,iTrader,8a2e4e726d4c46caa91931f83e29fecd,AAPL,buy,market,fill,1,gtc,0.0,1,stock,174.25999450683594,89.0,0.0
2024-04-18 09:30:00-04:00,iTrader,5501ebdb80554e6a8cab6488610ce853,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-04-18 09:30:00-04:00,iTrader,9afe749e1d4d40d5a0b8912f06472312,AAPL,sell,stop,fill,1,day,0.0,1,stock,164.49249420166015,134.0,0.0
2024-04-18 09:30:00-04:00,iTrader,c9c62116fbb94ea7b8a9308294996ca3,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-04-18 09:30:00-04:00,iTrader,3ecbad46c8a94a5e8aaf3418cb71f7c9,AAPL,sell,stop,fill,1,day,0.0,1,stock,165.54699478149413,89.0,0.0
2024-05-03 09:30:00-04:00,iTrader,684e1f12eb7c46ad8a73a03311a45d99,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-05-03 09:30:00-04:00,iTrader,684e1f12eb7c46ad8a73a03311a45d99,AAPL,buy,market,fill,1,gtc,0.0,1,stock,186.64999389648438,106.0,0.0
2024-05-06 09:30:00-04:00,iTrader,dd348dc15c884e0fa70b95a95328093c,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-05-06 09:30:00-04:00,iTrader,dd348dc15c884e0fa70b95a95328093c,AAPL,buy,market,fill,1,gtc,0.0,1,stock,183.4499969482422,86.0,0.0
2024-05-28 09:30:00-04:00,iTrader,94371020bc6942a4981cf1a0127b0220,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-05-28 09:30:00-04:00,iTrader,94371020bc6942a4981cf1a0127b0220,AAPL,buy,market,fill,1,gtc,0.0,1,stock,189.61000061035156,67.0,0.0
2024-06-11 09:30:00-04:00,iTrader,b7c162007e6f4b049b8e63f6d455db8e,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-06-11 09:30:00-04:00,iTrader,3ecea25bc4ea412db46b06da2dccbe78,AAPL,sell,limit,fill,1,day,0.0,1,stock,220.1399963378906,86.0,0.0
2024-06-13 09:30:00-04:00,iTrader,e3eff4431f8b457fb3bda9d4ed882fe0,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-06-13 09:30:00-04:00,iTrader,e3eff4431f8b457fb3bda9d4ed882fe0,AAPL,buy,market,fill,1,gtc,0.0,1,stock,213.85000610351562,65.0,0.0
2024-07-04 09:30:00-04:00,iTrader,a6bd08e82e714c9cb6923b4a21a48295,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-07-04 09:30:00-04:00,iTrader,12336fe34d5a4ff7946267b6a25f0ef0,AAPL,sell,limit,fill,1,day,0.0,1,stock,223.97999267578123,106.0,0.0
2024-07-08 08:30:00-04:00,iTrader,a7e50fdee5a5457c89a32ac279b7ad52,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-07-08 08:30:00-04:00,iTrader,ca1a74e03fe94c60acefa4ebfa4b2da9,AAPL,sell,limit,fill,1,day,0.0,1,stock,227.92999267578125,67.0,0.0
2024-08-01 09:30:00-04:00,iTrader,07d78953562b48208c31ff027fb790ec,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-08-01 09:30:00-04:00,iTrader,07d78953562b48208c31ff027fb790ec,AAPL,buy,market,fill,1,gtc,0.0,1,stock,219.14999389648438,87.0,0.0
2024-08-02 09:30:00-04:00,iTrader,1cccfc77942b4924aa2b08734f8209b7,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-08-02 09:30:00-04:00,iTrader,1cccfc77942b4924aa2b08734f8209b7,AAPL,buy,market,fill,1,gtc,0.0,1,stock,219.14999389648438,69.0,0.0
2024-08-05 08:30:00-04:00,iTrader,14434ca6327e477b80bcc63f5a8dbfe1,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-08-05 08:30:00-04:00,iTrader,c9a784a85e884e65a19dc2185ec52241,AAPL,sell,stop,fill,1,day,0.0,1,stock,203.15750579833983,65.0,0.0
2024-08-05 08:30:00-04:00,iTrader,77a4716599b440fb8475337da9a43b99,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-08-05 08:30:00-04:00,iTrader,49f993ffd2ec47a9b8497d6aac1b57e2,AAPL,sell,stop,fill,1,day,0.0,1,stock,205.3000030517578,87.0,0.0
2024-08-05 08:30:00-04:00,iTrader,1a9ee7ebfe194bf28d039f88e4168d3b,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-08-05 08:30:00-04:00,iTrader,82b25304b42d4d95ab4fa187395ee4d8,AAPL,sell,stop,fill,1,day,0.0,1,stock,205.3000030517578,69.0,0.0
2024-08-05 09:30:00-04:00,iTrader,e2df5b1ee3894d909ab3c0436b5fb4c0,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2024-08-05 09:30:00-04:00,iTrader,e2df5b1ee3894d909ab3c0436b5fb4c0,AAPL,sell,market,fill,1,gtc,0.0,1,stock,205.3000030517578,103.0,0.0
2024-08-08 09:30:00-04:00,iTrader,20780099dcce4369ab894e6fa2f4fc67,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-08-08 09:30:00-04:00,iTrader,d37a691938dc4c0081a8f6b606514033,AAPL,buy,stop,fill,1,day,0.0,1,stock,215.56500320434571,103.0,0.0
2024-08-29 09:30:00-04:00,iTrader,6c5aef2f4cdd46ee9df223a0781a5a02,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-08-29 09:30:00-04:00,iTrader,6c5aef2f4cdd46ee9df223a0781a5a02,AAPL,buy,market,fill,1,gtc,0.0,1,stock,230.19000244140625,91.0,0.0
2024-09-03 08:30:00-04:00,iTrader,4ce5ddaa65b34b41a228b79854730240,AAPL,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-09-03 08:30:00-04:00,iTrader,1c8bd4e7da084c13ae59cb9e388bc4b8,AAPL,sell,stop,fill,1,day,0.0,1,stock,218.68050231933591,91.0,0.0
2024-09-23 09:30:00-04:00,iTrader,e580783d9c5c4339809521610be23607,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2024-09-23 09:30:00-04:00,iTrader,e580783d9c5c4339809521610be23607,AAPL,buy,market,fill,1,gtc,0.0,1,stock,228.64999389648438,91.0,0.0
